Date,Sentiment
2021-07-10,1.0
2021-07-12,0.0
2021-07-16,0.0
2021-07-17,1.0
2021-07-18,-1.0
2021-07-22,1.0
2021-07-25,-1.0
2021-07-28,1.0
2021-07-29,0.3333333333333333
2021-08-03,1.0
2021-08-04,0.0
2021-08-09,0.0
2021-08-15,-1.0
2021-08-16,-1.0
2021-08-19,-1.0
2021-08-22,-1.0
2021-09-03,1.0
2021-09-04,-1.0
2021-09-07,-1.0
2021-09-08,-1.0
2021-09-15,-1.0
2021-09-17,-1.0
2021-09-19,0.0
2021-09-21,-1.0
2021-09-24,0.0
2021-09-25,-1.0
2021-10-06,0.0
2021-10-15,1.0
2021-10-17,-1.0
2021-10-26,-1.0
2021-11-02,0.0
2021-11-05,-1.0
2021-11-07,-1.0
2021-11-09,-1.0
2021-11-11,0.0
2021-11-16,-1.0
2021-11-19,0.0
2021-11-24,-1.0
2021-12-04,-1.0
2021-12-12,-1.0
2021-12-17,-1.0
2021-12-20,1.0
2021-12-25,-1.0
2022-01-07,-1.0
2022-01-09,0.0
2022-01-10,1.0
2022-01-14,-1.0
2022-01-27,-1.0
2022-01-28,0.0
2022-02-04,-1.0
2022-02-08,-1.0
2022-02-11,-1.0
2022-02-12,-1.0
2022-02-14,0.0
2022-02-22,-1.0
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,-0.5
2022-03-20,1.0
2022-03-22,0.0
2022-03-28,0.0
2022-03-29,-0.6666666666666666
2022-03-30,-1.0
2022-04-03,-1.0
2022-04-11,-1.0
2022-04-14,1.0
2022-04-16,1.0
2022-04-28,-1.0
2022-04-29,-0.3333333333333333
2022-05-02,0.0
2022-05-03,-1.0
2022-05-04,-1.0
2022-05-05,0.0
2022-05-06,-0.3333333333333333
2022-05-07,-1.0
2022-05-14,-1.0
2022-05-17,1.0
2022-05-20,-1.0
2022-06-02,-1.0
2022-06-04,-0.3333333333333333
2022-06-05,-1.0
2022-06-22,-1.0
2022-06-23,-0.5
2022-06-29,0.0
2022-06-30,0.0
2022-07-07,-1.0
2022-07-08,-1.0
2022-07-13,0.0
2022-07-18,-0.5
2022-07-20,-1.0
2022-07-22,0.0
2022-07-24,-1.0
2022-07-25,0.0
2022-07-28,-1.0
2022-07-29,1.0
2022-08-04,0.5
2022-08-06,0.0
2022-08-07,-1.0
2022-08-18,-1.0
2022-08-19,-0.3333333333333333
2022-08-20,-0.5
2022-08-22,-1.0
2022-08-23,-1.0
2022-08-24,1.0
2022-08-25,0.0
2022-08-26,1.0
2022-08-28,0.0
2022-08-29,0.0
2022-09-08,0.0
2022-09-09,0.0
2022-09-10,-1.0
2022-09-13,0.0
2022-09-15,-1.0
2022-09-16,0.0
2022-09-21,0.0
2022-09-26,-1.0
2022-09-28,-1.0
2022-10-03,-1.0
2022-10-13,0.0
2022-10-14,-1.0
2022-10-16,-1.0
2022-10-19,-1.0
2022-10-27,0.0
2022-10-29,-1.0
2022-10-31,0.0
2022-11-01,-1.0
2022-11-06,1.0
2022-11-09,0.0
2022-11-11,-1.0
2022-11-15,-0.3333333333333333
2022-11-16,-0.3333333333333333
2022-11-17,0.0
2022-11-23,-1.0
2022-11-25,1.0
2022-11-27,0.0
2022-12-10,-1.0
2022-12-17,-1.0
2022-12-20,1.0
2022-12-26,-1.0
2022-12-29,0.0
2022-12-31,0.0
2023-01-01,-1.0
2023-01-03,1.0
2023-01-07,-1.0
2023-01-09,0.0
2023-01-14,-1.0
2023-01-16,-1.0
2023-01-20,-0.6666666666666666
2023-01-21,-1.0
2023-01-23,1.0
2023-01-24,0.0
2023-02-01,-1.0
2023-02-08,0.0
2023-02-13,-1.0
2023-02-14,0.0
2023-02-16,-1.0
2023-02-18,0.0
2023-02-22,0.0
2023-03-06,-1.0
2023-03-08,1.0
2023-03-10,0.0
2023-03-12,-1.0
2023-03-19,0.0
2023-03-21,-1.0
2023-03-30,-1.0
2023-04-09,-1.0
2023-04-10,1.0
2023-04-12,0.0
2023-04-15,-1.0
2023-04-16,0.0
2023-04-18,1.0
2023-04-21,-1.0
2023-04-22,-1.0
2023-04-23,0.0
2023-04-24,-1.0
2023-04-26,-1.0
2023-04-27,1.0
2023-04-28,0.6666666666666666
2023-04-29,0.0
2023-04-30,-0.5
2023-05-05,0.0
2023-05-08,-1.0
2023-05-12,-1.0
2023-05-15,-1.0
2023-05-17,0.0
2023-05-18,-1.0
2023-05-23,-1.0
2023-05-24,-1.0
2023-05-27,0.0
2023-05-28,-1.0
2023-06-01,0.0
2023-06-05,-0.5
2023-06-06,1.0
2023-06-07,1.0
2023-06-11,-1.0
2023-06-19,-1.0
